	Class A B C D E F G H I J K L M N O P Q R S T U V X Y W Z AA BB
662	1 -39.4 -30.41 19.47 -30 -159.1 -30.69 -37.41 131.6 -95.72 14.81 50.57 -18.81 74.65 -78.01 -107 41.65 6.812 -66 78.56 -7.09 161.22 85.77 -261.23 73.29 -232.08 101.26 410.21 -20.05
663	1 37.25 50.77 51.95 80 -45.45 -54.27 -80.26 -2.378 1.866 -11.91 48.56 17.63 43.61 61.93 -85.85 -3.578 121.8 -12.8 -83.89 -98.27 105.17 -185.18 -332.27 223.79 -154.25 -303.25 540.28 164.26
664	1 -47.28 -41.5 2.545 -60 -210.5 61.03 -31.29 93.76 -111.7 103.2 35.78 -46.84 55.38 -63.12 -55.02 72.41 -7.025 -83.06 -80.12 231.67 -255.82 -311.83 -134.65 200.63 156.57 -24.58 601.38 167.84
665	1 -83.81 -70.48 -83.77 0 -120 -27.2 -6.802 152.4 -82.12 4.463 94.94 -4.236 41.47 -41.29 40.36 64.72 -62.37 -85.07 186.05 -128.28 366.38 20.78 223.92 320.68 -198.55 297.66 -247.94 -134.09
666	1 9.615 13.74 -72.14 60 -48.39 -49.75 -30.03 -57.52 -15.89 -51.46 6.984 -21.78 107.3 201.5 40.05 -35.5 99.65 -80.01 -90.76 -133.33 239.7 -190.93 -271.53 -41.47 224.12 -210.25 414.78 -30.47
667	1 -29.49 -35.58 -43.62 -90 -187.5 66.35 -37.23 130.4 -200.2 37.56 31.03 85.85 75.08 -107.7 -152.2 39.89 28.67 47.43 169.32 -249.75 -275.89 -13.49 108.35 -84.09 -214.53 -132.69 522.2 -228.17
668	1 17.95 8.974 -24.06 50 16.67 -67.53 -37.23 -188.6 74.53 -24.46 15.73 9.993 45.35 137.7 -102.8 13.28 108.8 -53.08 -134.73 -165.47 321.73 299.78 23.75 231.68 80.78 149.11 524.31 185.55
669	1 -21.79 -31.73 -66.42 -40 -95.24 8.823 -44.42 -165 41.26 103.4 -127.8 -118.4 -62.42 15 -90.19 110.8 -40.65 -166.7 275.08 265.07 -119.58 -0.61 22.2 80.71 -11.35 326.75 416.16 -5.61
670	1 -34.62 -35.16 24.43 -160 -277.8 1.501 -51.62 105.6 -106.3 59.07 -40.37 -7.512 35.44 -70.76 -104.6 103.5 -74.05 54.65 212.54 -331.37 -176.13 64.39 -184.43 270.09 -106.76 -217.34 536.13 153.75
671	1 15.48 7.741 13.13 40 0 -89.61 -47.99 -35.05 35.05 NA 7.731 -35.48 -4.002 135.1 -48.26 1.543 103.5 -114.5 281.67 -183.08 288.74 -320.31 12.92 236.77 -200.61 -119.35 -73.07 -223.24
672	1 -37.84 -43.31 -44.94 -30 -22.73 -63.6 -32.55 -136.6 44.87 46.36 -153.5 -126.6 -93.94 72.77 49.89 113.8 -81.81 -112.1 -175.27 -345.71 184.73 -245.28 64.46 310.3 155.79 183.17 436.84 -108.57
673	1 0 7.629e-06 -42.32 50 -83.33 -38.69 -54.31 -36.61 34.66 28.94 33.51 27.71 -35.19 31.42 -22.68 31.44 129.1 27.57 282.11 -3.42 -172.26 -6.07 304.65 -222.17 -201.09 -152.29 23.12 -32.44
674	1 -8.065 -9.241 49.07 30 -17.86 -72.56 -46.11 -58.84 61.91 15.88 7.728 -14.15 -112.9 -43.33 -52.52 0.3427 -15.8 -49.13 203.88 -152.54 -246.02 125.86 -164.04 185.68 -297.72 227.73 -200.14 -238.23
675	1 -32.26 -26.55 -121.1 -20 -173.9 61.73 -42 4.148 -1.918 103.2 -88.28 -107.4 98.24 36.29 13.13 123.5 -101.1 -173.9 -25.34 269.79 202.34 110.72 -228.9 224.5 -228.22 86.43 260.28 140.98
676	1 -51.41 -36.12 -44.21 -90 -281.3 228.7 -9.185 339.5 -340.4 11.8 278.2 -34.72 239 -25.28 -240.8 -23.94 243.8 -36.35 -196.5 -218.14 -12.81 340.23 -298.37 -14.42 -179.76 -320.81 94.23 -104.6
677	1 8.488 4.244 -74.45 40 -103.4 -33.51 -24.38 11.79 -32.2 7.313 -18.25 -37.41 119.7 175.7 124.1 -17.8 40.07 -119.2 306.66 -357.12 -77.81 138.85 32.44 -33 -240.39 141.7 194.22 -85.49
678	1 -63.27 -67.82 -118.5 -140 -90.91 -30.36 -24.38 -211 43.53 82.33 -249.2 -69.34 -78.55 -61.3 -112.3 161.8 -130.5 -126.8 -337.24 195.94 44.02 -322.8 139.54 25.35 -80.09 24.36 -179.12 232.41
679	1 23.15 14.86 -17.25 110 -83.33 -79.64 -56.82 27.15 7.201 4.187 -3.141 -29.08 -36.01 183.8 39.69 -10.75 28.07 29.25 -21.92 27.56 -164.9 -71.23 -30.85 -35.17 206.88 -313.09 375.18 -58.94
680	1 -6.338 -3.169 22.16 80 -90.91 -7.14 -43.37 55.39 -47.47 17.51 74.12 8.857 111.7 123.6 -13.43 -22.6 81.56 9.857 260.17 283.52 126.68 62.08 -49.67 -24.96 -251.32 -206.19 137.79 -128.58
681	1 -83.1 -68.06 -89.61 -90 -125 52.85 -18.05 -208.2 -36.43 114.5 -129.5 -144.9 -22.27 0.5972 -135.3 105.9 18.45 -83.39 -316.1 -343.46 238.79 -246.22 -129.67 113.91 -133.46 368.68 555.67 -85.4
682	1 -39.44 -42.45 2.016 -110 -178.6 12.18 -38.31 176.5 -82.94 57.87 39.34 -28.64 23.8 -101.4 44.5 121.8 -77.59 -30.37 -154.63 -94.4 299.22 -252.13 -149.65 -36.79 -323.11 -136.49 255.44 -116.35
683	1 -35.92 -33.11 32.46 0 -100 29.46 -38.31 77.5 -0.9597 72.14 83.45 -27.39 77.38 -80.5 44.5 123.4 -21.79 -73.33 -191.57 144.09 266.15 -144.43 -54.84 181.61 -13.3 -2.24 297.1 61.48
684	1 -10.56 -5.282 26.25 80 -60.61 -120 -43.37 15.12 6.135 -43.65 -25.14 -18.01 23.8 140.6 67.82 -0.7052 -31.85 -106.2 -300.92 11 272.9 107.77 186.35 291.06 -27.23 107.21 126.64 -124.12
685	1 -84.51 -68.77 -143.7 -80 -176.5 38.62 2.202 8.156 -127.9 73.77 -11.56 -135.5 53.8 98.7 -150.3 108 -12.65 -74.25 -337.58 -221.37 -43.72 261.93 -301.22 236.45 248.34 308.75 -126.28 120.94
686	1 3.78 1.89 -51.87 60 -64.52 -37.84 -47.12 -47.15 -33.85 -13.01 85.9 -23.36 64.47 86 -77.8 -62.75 180.6 -11.27 -318.33 171.29 -286.93 -239.4 250.65 -81.99 147.84 301.05 495.88 59.81
687	1 -45.9 -44.82 -27.75 -90 -156.3 20.88 -47.12 74.13 -72.43 65.97 -16.83 -21.86 30.72 -62.57 -28.11 107.8 -190.1 -34.05 174.37 -88.57 -236.78 -281.24 131.67 -21.52 -139.63 290.41 213.72 37.02
688	1 -35.64 -36.57 -29.72 -120 -153.8 28.98 -47.12 84.82 -75.33 71.43 -25.68 -3.187 -23.8 -123.2 4.35 190.2 -137.4 -121.2 1.63 -55.88 351.73 -61.46 -121.32 -204.68 97.49 107.37 21.35 113.05
689	1 0 0 16.03 80 -45.45 -80.36 -39.49 -83.85 80.94 -29.82 33.65 -38.3 41.1 140.7 41.88 -46.26 103.7 -34.05 93.97 -19.16 159.04 -153.25 260.88 300 152.3 -107.36 533.88 196.52
690	1 -71.56 -67.64 45.73 110 -55.56 17.02 -43.52 97.89 -61.19 56.85 20.49 44.4 -42.2 -99.28 -44.76 72.34 34.88 64.64 -84.71 93.68 -179.78 325.88 -316.7 111.3 -44.91 -214.13 250.55 -171.71
691	1 -16.55 -18.08 17.03 60 -16.13 -52.86 -16.22 -66.01 21.72 -61.43 41.15 5.353 123.6 169.5 35.77 -0.6231 75.64 -14.34 -267.3 -56.32 -27.71 -22.19 -14.45 -51.82 119.13 185.45 -122.64 -81.84
692	1 -4.545 -12.99 -29.09 80 15.15 -73.26 -33.69 -145.1 54.97 -56.53 -43.94 60.08 8.169 28.86 -5.967 -97.96 16.82 108.9 276.91 76.29 -225.22 299 -263.87 192.75 81.88 -143.22 277.98 213.44
693	1 -13.16 -17.29 28.02 80 -45.45 -56.11 -65.63 -42.67 86.38 4.453 -0.6216 16.46 50.89 47.88 118.1 -48.42 27.4 74.24 18 66.35 -294.42 44.15 -267.1 176.05 -252.94 -110.98 -197.99 55.71
694	1 -38.52 -51.4 -62.89 -30 -113.6 -1.802 -25.7 -38.55 -48.59 69.64 -167.8 -129.4 -87.96 99.37 132.6 66.33 -36.99 -220.8 -269.35 217.04 -0.07 -318.57 -86.89 157.81 -192.57 -147.55 -89.51 197.02
695	1 -22.73 -36.36 42.93 -110 -178.6 24.36 -24.67 162.9 -149.2 -5.921 92.22 8.294 115.9 -131.2 -95.56 132.5 -25.43 -25.57 252.57 5.94 104.53 157.95 -318.85 -131.04 -9.98 324.67 204.57 42.54
696	1 -44.7 -43.18 -53.82 -70 -138.9 78.74 -14.34 -155.1 85.55 146.6 -116.8 -143.1 -41.74 17.03 34.93 191.8 -60.82 -147.2 -214.24 -33.18 187.31 332.52 -259.64 230.35 -272.83 257.12 488.1 -134.27
697	1 42.42 25.38 -4.016 40 -103.4 -92.93 -50.49 -25.85 19.41 -1.247 17.82 -48.88 103.2 101.5 21.81 -48.04 61.87 -87.99 32.88 -59.51 290.08 2.83 39.07 239.38 160.19 276.9 -186.92 -140.16
698	1 -37.88 -35.61 -124.5 -130 0 17.96 -35 -115.7 93.75 108.8 -40.11 -115.1 -67.26 19.22 -174.2 152.7 -85.2 -205.8 269.21 2.92 300.68 306.42 255.69 40.01 180.87 -306.03 254.67 152.89
699	1 -18.94 -30.3 79.72 -40 -214.3 38.22 -24.67 140.7 -128.1 31.47 76.31 0.8824 127.8 -96.03 -64.09 118.9 -63.96 -111.2 80.76 -139.29 31 43.74 -353.26 -1.67 -280.2 -119.82 38.99 -94.9
700	1 -7.675 -13.97 -44.86 70 -78.13 -96.96 -51.34 0.2571 23.38 -19.3 -31.68 8.312 6.101 113.6 92.73 -9.04 8.708 -96.61 -189.97 -328.47 -107.02 -327.86 58.17 85.01 16.35 152.97 228.49 22.01
701	1 -44.41 -49.23 55.77 -50 -125 50.79 -35.97 -4.26 3.216 94.65 77.56 -40.08 33.28 -135.3 -56.1 138.1 34.08 -76.92 291.01 -299.82 -196.86 53.05 22.46 -264.49 -38.21 -26.35 -162.72 -178.57
702	1 -41.67 -37.73 -3.905 -10 -166.7 51.55 -35.97 191.7 -95.44 50.72 129.4 -8.875 92.17 -142.9 123.5 135 -25.41 -77.63 -200.12 -89.91 61.08 296.31 -20.5 316.28 140.62 35.75 -10.71 -232.82
703	1 -51.2 -51.91 -70.58 -80 -58.82 -25.94 -28.84 -224.7 84.74 36.54 -193.6 -82.98 -112.7 65.34 21.91 92.78 -88.58 -57.48 -86.51 -269.42 -59.37 11.4 -75.7 52.92 127.6 146.86 575.07 176.42
704	1 -62.57 -57.6 -81.43 -80 -147.1 -6.783 -22.31 -79.03 -40.06 51.47 -112 -63.04 -5.536 48.31 -107.3 92.78 -24.37 -95.66 42.91 -64.69 353.95 -121.05 -253.41 -203.4 24.79 92.53 426.65 139.97
705	1 15.27 14.21 8.519 70 -31.25 -55.14 -48.45 -122.9 14.02 -23.64 -62.4 37.96 27.88 66.41 -65.95 -21.24 -45.77 -24.92 -22.06 -56.22 -228.79 247.99 128.42 297.1 -275.85 NA -184.79 219.06
706	1 -60.18 -56.41 16.43 -70 -222.2 48.87 -15.77 200 -184.8 37.47 64.83 28 92.4 -73.03 -119.3 110.5 -53.66 -11.45 220.14 111.82 162.15 -123.87 -117.53 316.34 9.79 30.74 -59.05 164.75
707	1 -42.77 -45.03 -24.02 -10 -145.8 -33.73 -54.18 67.25 -91.89 28.9 59.59 2.162 62.94 -77.01 -45.42 89.15 -46.76 45.21 -188.48 164.32 65.33 -162 -42.63 -65.23 -68.39 194.86 -71.4 95.37
708	1 -29.52 -31.65 59.46 -140 -272.7 99.96 -54.18 158.5 -181.7 76.55 105.1 0.527 179.2 -91.47 -137.7 147.6 -30.12 -24.71 48.62 6.52 -285.24 -65.74 -43.66 -229.87 61.93 -89.05 -49.18 -42.73
709	1 16.87 15.19 -61.25 50 -66.67 -73.56 -27.39 -7.475 -87.34 -27.05 -8.378 -19.1 -53.37 124.6 -118.4 -49.44 -64.04 -79.85 314.15 166.42 177.64 112.34 36.92 116.53 262.31 -86.01 558.86 139.51
710	1 -61.45 -61.13 -32.52 -40 -71.43 -22.36 -27.39 -187.7 104.6 101.8 -100.8 -125.4 -100.7 40.41 -85.48 106.1 -120.4 -96.66 164.37 -15 33.62 -96.65 -145.24 -166.41 -315.06 -327.72 -33.07 -35.26
711	1 -68.67 -64.74 -100.3 -90 -125 2.297 -0.5953 -119.1 59.05 91.35 -146.3 -187.5 -39.25 22.54 39 175 -165.8 -149.8 43.71 203.21 214.95 112.26 -135.51 194.63 77.07 3.7 62.95 -22.69
712	1 11.45 5.723 -37.59 50 -50 -161.7 -59.53 -89.58 -5.364 -32.1 -16.69 -57.94 44.66 106.8 -76.9 -38.96 51.16 -80.52 -287.83 -249.52 -227.77 -144.01 89.45 -148.9 -276.26 -189.12 553.21 -94.41
713	1 -20.15 -23.23 -81.74 -100 -200 33.21 -33.96 -90.22 -97.75 92.48 -25.38 -113.7 -49.25 6.112 -277.4 92.48 10.37 -149.8 -210.32 -117.84 241.89 149.41 154.98 136.4 -68.9 244.05 -99.65 172.19
714	1 -59.31 -52.68 -243.1 -110 -71.43 69.22 20.98 -131.6 69.63 105.2 -174.7 -204.3 -101.4 198.2 -105.4 162 -20 -67.43 228.18 -322.6 -186.74 313.86 -296.13 -233.53 -160.77 -118.61 -81.71 -128.28
715	1 -23.55 -28.22 51.12 -110 NA -32.25 -44.95 174.8 -73.69 18.36 75.12 -12.45 89.48 -51.05 34.81 117.2 -103.3 39.86 -296.46 -291.3 -266.2 -145.65 34.51 -135.94 -300.18 110.67 -71.79 -205.32
716	1 30.44 15.22 -22.56 60 -64.52 -99.12 -66.04 -47.92 18.91 6.101 -12.2 -33.57 52.61 97.9 6.198 -14.98 54.58 -94.04 216.99 -137.07 164.36 273.01 -83.32 283.91 22.16 -156.23 -226.72 48.58
717	1 -68.74 -61.71 -81.96 -60 0 12.89 -22.89 -218.7 117.9 73.09 -174.2 -78.74 -144.4 22.16 -115.5 119.5 2.137 -58.46 -104.4 -113.73 -99.97 -280.27 140.58 154.02 266.31 -315.32 357.37 -194.92
718	1 -43.43 -41.25 27.42 -70 -111.1 36.68 -22.89 141 -74.95 42.34 110 10.09 109.7 -103.7 6.198 166.4 -1.042 -87.26 251.28 145.19 148.7 195.62 -225.66 153.3 -105.21 -156 404.78 147.31
719	1 20.18 10.09 -28.98 50 -16.67 -123.9 -49.86 -120.5 54.03 -16.23 -58.57 NA 22.23 92.07 6.923 -26.83 53.79 -99.12 -3.04 -152.22 68.63 288.17 -177.58 -125.24 194.82 265.05 242.63 161.32
720	1 -25.32 -29.55 -83.2 -110 -178.6 14.9 -37.12 -136.6 -42.93 98.02 -65.78 -118.4 -111.4 37.14 -99.53 50.06 3.03 -172 -18.73 123.05 -213.49 -286.04 57.86 -148.26 138.28 16.15 -39.35 -73.77
721	1 45.57 26.16 4.669 80 -75.76 -114.1 -58.82 -3.329 7.922 -14.78 -24.26 2.956 -29.67 131.1 35.22 -29.11 -4.291 -57.6 -244.99 81.29 -185.25 145.22 164.09 -156.6 -295.33 350.89 -125.54 -125.83
722	1 -76.58 -65.32 -286.8 -110 -107.1 140 27.96 -149.1 155.2 121.4 -258.2 -259.3 -205.3 206.8 -5.91 168.6 10.35 -49.43 -261.91 138.88 -61.45 -211.36 -57.65 172.68 174.17 -242.45 -206.06 -224.86
723	1 -18.99 -26.39 50.24 -60 -184.2 -36.85 -55.2 148.8 -92.22 10.61 62.02 -12.83 60.41 -47.7 46.57 70.81 -29 -25.6 -251.41 -85.84 363.36 -304.21 64.79 -6.09 -203.76 -93.34 75.18 -189.14
724	1 -14.25 -7.123 -49.72 110 -83.33 -95.16 -55.03 34.85 -72.96 -39.05 -1.852 21 41.49 105.5 57.65 -52.01 2.486 59.35 -73.12 -361.85 -133.01 311.78 -25.63 76.68 299.33 361.41 348.18 -144.53
725	1 -43.85 -48.09 114.5 -70 -222.2 28.78 -55.03 183.7 -132.5 58.77 92.03 -3.126 107.2 -74.24 -88.48 87.35 -27.08 -1.01 91.94 -231.16 -49.67 -86.15 218.86 327.59 -103.28 -306.92 -4.53 -130.59
726	1 -53.91 -58.93 15.75 0 -60 -92.19 -31.8 -232.4 60.49 28.76 -109.9 -55.73 -65.79 56.25 -63.57 -1.683 -104.9 -75.62 38.97 -105.78 298.76 232.45 91.28 252.31 224.54 -225.61 47.45 172.97
727	1 -29.33 -35.01 54.35 -60 -105.3 27.78 -55.03 53.52 -95.55 59.55 102.1 8.939 88.65 -81.15 -51.12 130.4 15.3 -58.85 -0.92 104.31 -100.53 220.01 292.51 224.29 -9.61 -168.14 519.86 63.34
728	1 -15.53 -7.765 -101.8 50 -66.67 -82.15 -35.23 -57.89 -23.18 -29.51 -32.29 21.98 97.06 116.9 -10.72 -87.63 42.8 -23.49 203.64 -170.78 -85.07 -112.18 -256.18 266.31 -128.6 -297.12 -4.18 -37.54
729	1 -3.35 -1.675 -32.4 60 -48.39 -92.42 -68.2 -112.2 67.9 6.767 -70.5 -21.47 5.511 43.64 61.03 10.57 -4.076 -24.46 138.98 -159.84 -83.8 -68.71 -364.33 169.9 62.14 244.46 -82.13 -108.8
730	1 -42.94 -47.2 -8.565 -80 -176.5 35.4 -30.52 64.7 -72.86 60.03 117.2 -68.31 67.13 -51.86 -70.98 86.48 -2.96 -56.64 -245.49 -183.68 -135.46 -110.38 -56.92 -210.44 230.12 -53.74 -234.91 131.61
731	1 -59.38 -48.07 -94.88 -130 -166.7 106.2 -39.94 -154 2.935 148.2 -104.7 -135.5 -83.4 11.19 -96.81 140.6 36.1 -177.6 -271.99 -48.21 -57.48 60.27 164.89 -210.37 208.85 329.79 -214.99 -121.54
732	1 -50.55 -52.06 39.09 -50 -250 10.35 -31.33 201.7 -87.54 44.92 88.39 -1.047 39.21 -105.5 -6.623 69.77 -25.32 -10.58 100.39 48.42 -258.9 223.08 -1.12 101.07 -179.59 -311.23 519.05 -218.11
733	1 -70.77 -62.17 -60.53 -110 -178.6 28.84 -28.16 -164.5 186.3 80.99 -189.7 -65.38 -196.6 -31.08 81.63 80.54 -177.8 -61.9 -286.01 47.24 -62.28 -3.32 -39.12 -4.94 -145.96 -44.04 427.65 209.19
734	1 6.434 3.217 -12.3 70 -93.75 -152.8 -59.83 0.1264 -6.78 -13.69 11.61 -30.93 42.8 74.6 -7.471 0.8583 19.07 -57.41 -228.2 -360.96 170.75 330.46 -312.36 -201.88 266.11 130.96 -175.43 104.07
735	1 -47.79 -46.22 -2.94 -200 -300 123.4 -28.16 -197.2 108.8 146.2 -122.6 -87.79 -57.61 -64.9 63.81 153.8 -75.51 -85.64 169.86 -219.15 -125.76 194.51 -51.09 -202.25 207.41 NA 333.97 72.27
736	1 54.23 40.51 14.67 -20 -108.7 -147.3 -63 13.93 -36.98 -31.73 -26.02 -25.12 93.01 85.6 -8.32 3.73 -118 -65.75 61.78 -280.33 68.45 -263.84 -346.45 247.14 174.63 -333.21 493.34 -94.87
737	1 -35.85 -35.78 60 -40 -166.7 32.1 -37.66 146.2 -119.7 35.9 120.4 -11.84 92.11 -76.74 -49.9 57.57 -35.94 -15.07 51.37 -190.92 193.26 35.5 237.33 101.2 126.39 76.13 82.61 226.13
738	1 -66.52 -60.43 -66.44 -110 -178.6 13.12 -42.59 -106.3 -37.56 72.41 -28.19 -55.04 26.71 5.209 -185.7 130.7 22.57 -130.5 -232.48 151.15 309.76 -242.63 -344.72 136.9 151.45 -286.93 211.85 147.73
739	1 3.655 3.639 -20.57 30 -53.57 -97.74 -46.04 -95.28 10.64 -26.1 -83.4 -93.07 -35.74 196.4 3.604 -30.85 -15.62 14.51 108.91 -360.54 240.57 -81.22 122.4 -9.85 287.13 -101.97 397.16 5.45
740	1 -50.2 -55.27 -31.14 -100 -200 22.89 -19.63 81.03 -132.3 38.91 64.81 18.46 99.73 -6.762 -161.7 90.72 -19.53 20.71 -217.23 24.85 -217.04 197.44 205.35 79.47 194.8 90.18 512.53 29.21
741	1 -6.024 -10.2 170.8 200 -33.33 -129.3 -67.62 20.48 43.85 -13.73 -31.02 41.11 -29.4 20.96 113.9 -10.59 -89.08 28.73 -300.59 25.71 300.91 -325.75 175.9 209.41 46.12 208.22 10.88 130.23
742	1 -49.7 -40.65 -140.6 -130 -291.7 151.8 -27.63 132.4 -179.2 78.57 163.7 10.38 130.6 -179.6 -54.57 93.69 -37.57 3.229 134.95 -200.34 48.38 341.18 95.36 168.19 3.89 93.97 -158.5 -112.05
743	1 -90.86 -78.48 -269.6 -80 -147.1 65.16 28.35 -84.81 -25.68 92.66 -200 -73.18 -22.91 41.29 -32.36 97.51 23.4 -117.7 197.05 -139.16 123.58 124.38 -172.84 106.89 177.63 183.24 85.65 -85.01
744	1 11.23 16.03 -78.32 60 -64.52 -60.38 -47.25 9.076 -7.288 -15.23 63.04 -81.89 -31.39 188.5 4.909 -13.33 176.3 -111.4 -24.93 -356.72 186.98 187.05 12.32 252.12 55.58 242.63 93.85 -236.79
745	1 -46.69 -40.71 9.602 -240 0 9.924 -47.25 -192.1 229.7 45.65 -181.1 31.58 -177.6 -93.76 205.5 106.7 -73.12 -3.426 -41.55 80.11 217.44 314.41 -340.83 200.59 46.9 378.13 151.31 -205.29
746	1 -74.47 -51.12 9.493 -50 -175 94.68 -47.25 -206.5 -71.69 126.2 -61.03 -73.6 -1.679 -20.33 -172.4 73.47 -29.43 -76.67 234.4 155.34 334.85 158.14 -24.14 91.17 59.2 204.35 288.39 -201.97
747	1 -69.15 -58.88 -83.32 -110 -178.6 58.08 -8.087 -132.2 -0.6821 104.6 -131 -126.5 35.16 46.22 -77.91 136.1 -110.5 -31.54 95.53 -150.01 218.36 -159.13 -38.45 76.46 -287.72 272.17 39.19 -166.14
748	1 -54.37 -51.49 99.17 -100 -233.3 43.63 -34.19 200.4 -150.1 54.51 48.72 6.721 110 -86.88 -68.2 101.1 -116 -24.88 39.24 74.27 -195.23 -96.64 -286.29 237.5 206.51 183.68 -155.63 -162.77
749	1 0 -3.472 -23.62 80 -121.2 -31.49 -27.67 113.9 -110.5 -37.96 74.97 13.73 117.2 142.6 17.85 -28.45 127.1 -1.206 142.82 -191.22 234.85 -263.09 30.9 -205.33 127.52 -28 -96.27 -182.62
750	1 3.132 1.566 -0.2809 70 -78.13 -40.16 -51.6 -4.281 22.91 17.76 14.75 9.935 125.8 110.1 60.33 47.21 70.23 3.418 -196.51 247.92 192.16 -284.42 -210.28 189.84 86.78 98.88 348.92 -167.05
751	1 -74.11 -56.29 55.76 -100 -166.7 90.4 -29.42 -94.69 -120.5 118 -47.7 -80.1 -12.54 17.99 -153.5 128 76.51 -78.13 118.45 188.26 -52.17 153.85 311.96 -188.42 152.62 296.72 13.41 -40.01
752	1 -65.76 -55.32 -26.65 -60 -78.95 47.19 -22.02 -171.9 36.27 120.7 -78.93 -107 -63.03 66.8 -169.8 114.6 19.33 -55.3 -0.87 297.14 -45.43 177.81 215.64 109.09 -150.75 64.77 -177.48 177.58
753	1 -32.36 -22.59 -67.21 -140 -227.3 32.48 -51.6 109.7 -202.5 16.59 -56.84 -0.6932 16.75 -156.2 -172 80.92 -179.4 -26.59 -179.93 253.58 333.01 -12.03 35.16 284.36 -159.86 -86.89 -147.58 -218.52
754	1 -25.57 -25.61 -5.576 -100 -166.7 12.25 -51.6 207.6 -212.3 -37.04 51.31 8.06 120.8 -91.83 -59.53 71.12 -99.91 -99.01 206.29 126.52 131.27 -74.88 -203.48 -33.51 -13.53 348.78 571.31 -94.91
755	1 12 9.207 1.858 70 -62.5 -87.05 -29.42 3.069 -20.24 -36.65 -3.527 -28.83 19.78 143.3 49.98 -71.19 10.96 -12.24 -162.68 182.19 230.66 -13.62 292.15 303.01 93.9 -279.41 57.62 -234.16
756	1 -44.55 -32.69 -19.93 -150 -350 99.1 -52.45 143.9 -224.9 88.05 -26.11 -77.49 119.7 NA -93.09 144.8 -103.7 -86.07 -312.66 -168.2 122.11 -311.3 130.58 219.31 6.38 -260.32 401.05 -81.51
757	1 -58.51 -60.51 -42.3 -90 -156.3 52.68 -11.67 -117.8 -79.57 106.9 -37.73 -151.1 65.37 39.4 -188.5 104.8 50.04 -122.9 -259.96 -122.75 17.06 304.77 31.35 -164.32 -320.02 -249.37 191.9 232.77
758	1 -51.86 -50.24 -3.785 -80 -117.6 6.265 -45.65 -135.9 -50.98 83.67 -98.91 -96.66 -41.03 -38.13 -147.3 103.5 -12.07 -86.86 209.43 -278.98 -261.49 -5.48 204.24 17.02 -100.28 16.32 -72.6 72.9
759	1 0 -3.472 27.75 80 -45.45 -64.33 -52.45 -38.26 -35.1 -18.34 -61.73 25.25 -90.77 63.5 -2.684 0.1911 26.75 76.88 -161.31 -62.47 -109.47 -33.48 3.03 142.75 243.74 -170.55 399.09 95.49
760	1 -64.49 -56.55 -119 -200 -200 107.8 -25.26 13.59 -122.5 120.9 35.84 -59.09 88.5 -126.1 -104.9 151 -63.3 -73.54 -86.7 220.46 61.73 -90.5 110.62 43.98 -293.43 -305.24 303.17 -232.14
761	1 -52.99 -51.49 -154.7 -140 -318.2 147.6 -1.498 150.3 -149.4 78.04 163.3 39.61 142.5 -204.5 -97.59 106 -45.6 8.122 -36.6 200.64 368.99 335.33 199.61 -48.82 141.08 67.04 364.4 121.34
762	1 -68.61 -66.45 -156.1 -80 -88.24 106.5 7.292 -222.6 116.2 134.1 -238.2 -133.2 -167.6 2.785 -39.1 215.6 26.3 -169.1 -262.15 -144.76 124.47 -81.29 156 327.12 63.48 -106.55 261.8 85.48
763	1 -64.54 -57.27 -120 -70 -55.56 -19.89 -49.85 -146.3 110.6 85.31 -140.8 -67.27 -125.8 24.99 -31.3 49.73 -225.3 -116.2 21.9 -275.64 14.23 359.12 309.13 -88.22 212.21 -149.7 -192.33 -125.08
764	1 -43.48 -46.74 -49.57 -80 -294.1 111.2 -23.48 204.9 -154.5 78.04 149.7 -16.41 139.1 -130.5 -113.8 49.73 -32.97 -2.908 -89.33 -121.59 264.68 -277.23 -75.01 326.35 170.91 -190.88 466.98 -13.61
765	1 -72.58 -73.06 -100.6 30 17.86 82.19 13.02 -292.1 190.7 77 -269.3 -57.99 -176.5 -24.97 -0.3974 120.1 -73.82 -73.6 49.29 188.04 161.11 -92.67 40.83 28.75 -235.32 -118.48 133.32 220.04
766	1 -84.68 -79.1 -80.57 -40 -47.62 153.3 28.18 -368.9 215.6 129.4 -262 -102.1 -231.5 0.8089 -153.5 97.84 33.06 -63.37 -266.63 -61.46 NA -281.64 196.44 77.2 -169.29 26.59 131.26 190.25
767	1 -51.08 -51.27 27.2 -180 -214.3 61.62 -42.55 11.96 -42.37 95.3 84.75 -10.53 90.6 -100 -79.08 218 9.657 -92.58 -74.63 -230.66 -102.06 204.59 173.42 13.05 -311.09 -20.3 -15.62 155
768	1 -10.08 -5.04 3.283 60 -96.77 -120.1 -62.77 44.19 -77.74 -45.47 0.6412 -10.95 12.41 84.22 71.13 -60.85 2.635 -113 -263.54 209.86 -268.12 93.48 211.42 215.83 -251.07 87.53 523.96 -94.94
769	1 -21.26 -14.54 -107.7 90 -117.6 -102 -42.24 7.067 -11.72 5.609 -38.94 -58.48 -11.15 175.9 51.91 -21.48 -24.72 -51.88 -316.59 63.92 210.11 116.71 79.8 319.61 -205.65 -0.39 589.56 32.91
